substrate	product	barrier	heat
C[C@H]1C[C@@H]1[C+]1CC(C)(C)[C@H]2CC[C@H](C)[C@@H]12	C[CH+]C/C=C1\CC(C)(C)[C@H]2CC[C@H](C)[C@@H]12	30.686	28.52
C[C@@H]1CC[C@H]2[C@@H]1[C+]1CC[C@@]1(C)CC2(C)C	C[C+]1CC[C@H]2[C@H]3[C@H](CC[C@H]3C)C(C)(C)[C@@H]12	12.232	-19.618
C[C@H]1CC[C+]2CC[C@H]3C[C@@H]1[C@]2(C)C3(C)C	C[C+]1C(C)(C)[C@H]2CC[C@@]13CC[C@H](C)[C@@H]3C2	2.508	-0.024
CC(C)C[C@@]12[CH+]C[C@H](C)[C@H]3CC[C@]1(C)[C@H]32	CC(C)CC1=C2[C@H](C)CC[C@@H]2[C@@H](C)C[CH+]1	0.99	-8.721
CC(C)[C@@H]1CC[C@H](C)[C@@H]2[C+]1C[C@]1(C)C[C@H]21	C[C+]1C[C@H]2[C@@H]3[C@@H](C)CC[C@@H](C(C)C)[C@]23C1	17.624	8.804
C[C@H]1CC[C@H]2CC(C)(C)[C@@]3(C)CC[C@@H]1[C+]23	C[C+]1CC[C@H]2[C@@H](C)CC[C@H]3CC(C)(C)[C@]132	23.344	23.043
C/C=C1/CC[C+]2[C@H](CC1)C(C)(C)C[C@H]2C	C[C@@H]1CC(C)(C)[C@H]2CC[C+]3CC[C@]12[C@@H]3C	0.161	-7.008
CC1=CC[C@@]2(CC1)[C@@H](C)CC[C@@H]2[C+](C)C	CC1=CC[C@]2(CC1)[C+](C(C)C)CC[C@@H]2C	3.632	-1.794
CC(C)=C1CC[C@]2(CC[C@H](C)CC2)[C+]1C	CC(C)=C1CC[C@]1(C)[C+]1CCC(C)CC1	26.68	26.184
CC1(C)CCCC(C)(C)C2=C([CH+]CC2)C1	C[C+](C)[C@]12CCC=C1CC(C)(C)CCC2	27.926	11.052
CC(C)=CCC[C@@H](C)[C+]1CC=C(C)CC1	CC(C)=CCC[C@@H](C)[C@]12CC[C+](C)[C@H]1C2	0	-8.346
C=C[C+](C)CC/C=C(\C)CCC=C(C)C	CC(C)=CCC[C+](C)[C@@H]1CC=C(C)CC1	0	-32.641
C[C+]1CC[C@]12[C@H](C)C[C@H]1CC(C)(C)C[C@H]12	C[C@@H]1CC[C@@]12[C+]1CC(C)(C)C[C@@H]1C[C@H]2C	5.438	-1.15
C[C+]1CC[C@]23C[C@H]1C(C)(C)[C@@H]2CC[C@@H]3C	C[C@H]1CC[C@H]2C(C)(C)[C@@H]3C[C@]12[CH+]C3(C)C	17.445	16.3
C/C=C1\CC[C@@H](C)CC[C@@H]2[C+]1CC2(C)C	C/C=C1\C[CH+][C@@H](C)CC[C@@H]2[C@H]1CC2(C)C	23.428	23.428
CC1=CC[C@@]2(C)[C+](CC1)CC[C@H]2C(C)C	C[C+](C)[C@@H]1CC[C@]23CC[C@@]2(C)CC[C@]13C	15.159	-12.833
C[C+]1C[C@H]2[C@H](C[C@@H]2C(C)C)[C@@]2(C)CC[C@@H]12	CC(C)[C+]1C[C@H]2[C@@H]1C[C@H](C)[C@@H]1CC[C@@]12C	9.557	9.316
C=C(C)C[C@@H]1C[C@H]2CC[C+](C)[C@@]2(C)[C@@H]1C	C=C(C)C[C@@H]1C[C@H]2CCC(C)(C)[C+]2[C@@H]1C	12.629	4.011
C/C1=C\C[C@]2(C)[C@H](C)CC[C@@]2(C)[CH+]CC1	CC1=CC[C@@]2(C)[C@@H](CC1)[C+](C)CC[C@H]2C	8.157	-17.196
CC(C)=CCC[C+](C)[C@@H]1CC=C(C)CC1	CC(C)=CCC[C@@H](C)[C+]1CC=C(C)CC1	5.682	-1.657
C[C@H]1C[C@@]2(C)CC[C@@H]1C[C+]1CC[C@@H](C)[C@H]12	C[C+]1CC[C@H](CC2=C[C@H](C)CC2)[C@@H](C)C1	25.511	14.176
C=C1CC[C@@H]2[C+]1C[C@H](C(C)C)CC[C@H]2C	C=C1CC[C@H]2[C+](C)CC[C@@H](C(C)C)C[C@H]12	10.077	7.589
CC(C)[C@@H]1[CH+][C@@H]2C[C@@H](C=C[C@H]2C)[C@@H](C)C1	CC(C)[C@H]1C[C@H](C)[C@@H]2C=C[C@@H](C)[CH+][C@H]1C2	5.085	4
C[C+](C)[C@H]1CC[C@@]12C[C@]1(C)CC[C@H]2[C@H]1C	CC(C)=CCC[C+]1C[C@]2(C)CC[C@H]1[C@H]2C	12.305	6.164
C[C+]1CC(C)(C)[C@@H]2CC[C@@H](C)[C@@H]3CC[C@]132	C[C+]1CC[C@H]2C(C)(C)C[C@H](C)[C@]23CC[C@@H]13	8.469	7.491
C[C+]1CC[C@@]2([C@@H]3CCCC(C)(C)C3)C[C@@H]12	CC1(C)CCC[C@@H]([C+]2CC[C@]3(C)C[C@H]23)C1	18.51	-2.462
C[C+](C)[C@]12[C@@H]3CC[C@@]1(C)CC[C@H](C)[C@H]2C3	C[C@H]1CC[C@]2(C)CC[C@@H]3C[C@H]1C(C)(C)[C+]32	3.756	0.308
CC1=CC/C(=C(/C)[CH+]CCC(C)C)CC1	C/C(=C\CCC(C)C)[C@]12CC[C+](C)[C@H]1C2	0.009	-1.693
CC(C)[C@]12CC[C@@H](C)[C@@H]3CC[C+](C1)[C@@H]3C2	CC(C)[C+]1C[C@]23CC[C@H]1C[C@@H](C)[C@@H]2CC3	77.237	5.861
CC(C)=CCC[C@@]1(C)[C@@H]2CC[C+](C)[C@H]1C2	CC(C)=CCC[C+]1[C@@H]2CC[C@@](C)(C2)[C@@H]1C	25.942	-4.854
C=C1CC[C+]2[C@@H](C)CCCC(C)(C)C[C@H]12	C=C1[CH+][C@]2(CCC(C)(C)C2)[C@H](CC)CC1	6.644	5.076
C[C+]1CC[C@]2(C3(C(C)(C)C)CCC3)C[C@H]12	CC1=CC[C+](C2(C(C)(C)C)CCC2)CC1	5.076	5.076
CC1=C[CH+][C@H]([C@@]2(C)CC[C@H]2C(C)C)CC1	CC1=CC[C@H]([C+]2CCC(C)(C)[C@@H]2C)CC1	50.246	-14.105
CC1=CC[C+]2[C@@H](C)CC[C@@]2(CC(C)C)C1	C[C+]1C[C@]2(CC(C)C)CC[C@H](C)[C@@]23C[C@@H]13	4.727	-8.038
CC1=CCC[C@](C)(CCC[C+](C)C)C=C1	CC1=C[CH+][C@@](C)(CCCC(C)C)CC=C1	115.881	-8.832
C/C=C(/C)C[C@H]1C=C(C)CC[C@H]1[C+](C)C	C/C=C(/C)C/C=C\[C+](C)CCC=C(C)C	26.38	17.417
CC1=C[C+]([C@@H]2[C@H](C(C)C)CC[C@H]2C)CC1	CC1=C[C@H]([C+]2[C@H](C)CC[C@H]2C(C)C)CC1	20.396	19.435
CC(C)[C+]1CC[C@@]2(C)[C@H]3CC[C@H](C3)[C@@]12C	C[C+]1[C@]2(C(C)C)CC[C@@]1(C)[C@H]1CC[C@@H]2C1	16.46	14.35
C/C1=C\CC[C+](C)[C@@H]2C[C@@]2(C)[C@H](C)CC1	CC1=CC[C@@]2(C)[C@H](C)CC[C+](C)[C@H]2CC1	10.09	-21.894
CC1(C)CCC[C@]2(C)CC[CH+][C@@]23C[C@@H]3C1	CC1(C)C[CH+]CC2=CCC[C@@]2(C)CCC1	30.468	18.764
CC(C)=CCC[C@@H](C)[C@@]12CC[C+](C)[C@@H]1C2	CC(C)=CCC[C+](C)[C@@H]1CC=C(C)CC1	23.955	3.697
C[C+]1CC[C@@]2([C@@H]3CC(C)(C)C[C@@H]3C)C[C@@H]12	CC1=CC[C+]([C@@H]2CC(C)(C)C[C@@H]2C)CC1	8.614	2.924
C/C1=C/CC[C+](C)[C@@H]2C[C@@H]2C(C)(C)CC1	C[C+]1CCC(C)(C)[C@H]2C[C@H]2[C@@]2(C)CC[C@H]12	3.566	-10.092
CC(C)=C(C)[C@@]12CCCC[C@@H]1C[CH+][C@@H]2C	C[C+]1C(C)(C)[C@@H]2C[C@H]3CCCC[C@]13[C@H]2C	24.235	-38.405
C[C+](C)[C@@H]1CC[C@]2(C1)[C@H]1CC[C@]2(C)CC1	CC(C)[C+]1CC[C@]2(C1)[C@H]1CC[C@]2(C)CC1	2.28	-2.043
C/C1=C\CC[C+](C)/C=C\C(C)(C)CCC1	C[C+]1CCCC(C)(C)[C@H]2[C@H]3[C@H]1CC[C@]32C	28.583	-9.546
CC1=CC[C@H](C)[C+]([C@@]2(C)CC[C@@H]2C)CC1	C[C+]1C=C[C@H](C)[C@@H]([C@@]2(C)CC[C@@H]2C)CC1	1.231	-6.33
CC(C)=C[C@@H](C)C[C+]1CC=C(C)CCC1	CC1=CC[C@]2(CCC1)C[C@H](C)[C@H]2[C+](C)C	10.134	-7.718
CC(C)=CCC[C@]1(C)C[C@@H]2CC[C@H]1[C+]2C	CC(C)=CCC[C+]1C[C@@H]2CC[C@]2(C)[C@H]1C	16.19	1.841
C[C+]1C[C@@H]2[C@H]3CC[C@]2(C)[C@@]3(C)CC[C@@H]1C	C[C+]1[C@H]2CC[C@H]3[C@]1(C)CC[C@H](C)[C@@]3(C)C2	16.04	-34.646
C[C+](C)[C@@H]1C[C@H]2[C@H](C)[C@@H]3CC[C@@H](C3)[C@@]12C	CC(C)=CC[C@@H]1[C+](C)[C@H]2CC[C@H](C2)[C@H]1C	14.844	9.524
CC1(C)CC[C@]2(C)[C+]1CC[C@]1(C)CC[C@@H]12	CC1(C)CC[C+]2[C@H]3CC[C@@]3(C)CC[C@]21C	5.256	-0.65
C[C@H]1CC[C+]1[C@]1(C)CC[C@H]2[C@@H]1CC2(C)C	C[C+]1CC[C@H]2[C@H](CC2(C)C)[C@@]12CC[C@@H]2C	3.467	-5.347
CC1=CCC[C@@]12C[C@H](C(C)C)CC[C+]2C	CC1=CCC[C+]1[C@]1(C)CC[C@@H](C(C)C)C1	2.564	-12.347
CC1=CC[C@H]([C+](C)[C@]2(C)CC[C@@H]2C)CC1	CC1=CC[C@H]([C@@]2(C)CC[C@H](C)[C+]2C)CC1	13.356	-10.719
C/C1=C\CC[C+](C)/C=C\[C@H](C(C)C)CC1	CC1=C2C[C+](C(C)C)CC[C@]2(C)CCC1	17.846	5.071
C[C+](C)[C@@H]1CC[C@]23CCC(C)(C)C[C@H]2[C@H]13	CC1(C)C=C[C@@]2([CH+]CC(C)(C)CC2)CC1	15.095	11.346
CC(C)[C@@]1(C)[C+]2CC[C@]2(C)[C@@H]2CC[C@H]1C2	C[C+]1[C@H]2CC[C@H](C2)[C@@]2(C)CC[C@@]12C(C)C	3.857	-2.672
CC1=CC[C+]([C@@]2(C)CC[C@H]2C(C)C)CC1	C[C+]1CC[C@]2([C@@]3(C)CC[C@H]3C(C)C)C[C@H]12	1.117	-4.534
C[C+]1CC[C@H]2[C@H]1C[C@]1(C)[C@@H](C)CC[C@]21C	C[C@H]1CC[C@H]2[C+]1C[C@]1(C)[C@@H](C)CC[C@]21C	6.541	-5.309
C[C+]1CC[C@@]23[C@@H]1C[C@]2(C)CC[C@@H]3C(C)C	CC(C)[C@H]1CC[C@@]2(C)C[C@]3(C)CC[C+]1[C@@H]32	13.853	12.198
C[C+]1CC[C@H](C)[C@@H]2CC[C@@H](C)[C@@]23C[C@@]13C	C[C+]1[C@]23C[C@@]1(C)CC[C@H](C)[C@@H]2CC[C@H]3C	11.875	-12.175
C[C@H]1CC[C+]2C(C)(C)[C@@H]3CC[C@@H](C3)[C@]21C	C[C@H]1CC[C@]2(C)[C+]1[C@H]1CC[C@H](C1)C2(C)C	5.343	0.127
CC1=C(C(C)C)[C@H]2CC[C+](C)[C@H](CC2)C1	C[C+]1C[C@H]2CC[C@@H]3CC[C@@]2(C)[C@]13C(C)C	6.715	-22.661
CC1=C2C[C+](C)[C@H](C)CC[C@H](C)[C@H]2CC1	C[C+]1CC[C@@H]2[C@@H](C)CC[C@@H](C)[C@@]3(C)C[C@@]123	3.445	-6.983
CC(C)=CCC[C@@H](C)[C@]12CC[C+](C)[C@H]1C2	C[C+](C)[C@H]1CC[C@@H](C)[C@]12CC[C@@]1(C)C[C@H]12	10.711	-19.094
C[C@@H]1CC[C@@H]2[C+]1CC(C)(C)C[C@@H]1C[C@]12C	C[C@@H]1CC[C@@H]2[C@H]1CC(C)(C)C[C+]1C[C@]12C	10.788	3.359
C=C(C)[C@@H]1CC[C@@H](C)[C@H]2CC[C+](C)[C@H]2C1	C=C(C)[C+]1CC[C@@H](C)[C@H]2CC[C@H](C)[C@H]2C1	5.025	-4.727
CC(C)=C1CC[C+](C)CC[C@H]2[C@@H](C1)[C@@H]2C	C[C+](C)[C@]12CC[C@@]1(C)CC[C@H]1[C@@H](C2)[C@@H]1C	10.927	-6.202
CC1=CC[C@@H]([C@H](C)[C@]2(C)CC[C@@H]2C)C[CH+]1	CC1=CC[C+]([C@H](C)[C@]2(C)CC[C@@H]2C)CC1	19.884	-4.726
CC(C)([C+]1CC[C@@H]2[C@H]1CC2(C)C)C1CC1	C[C+](C)[C@]1(C2CC2)CC[C@@H]2[C@H]1CC2(C)C	18.502	4.524
C[C@H]1CC[C@H]2CC[C+]3[C@@H]([C@@H]12)[C@H](C)C3(C)C	CC(C)=C1CC[C@@H]2CC[C@H](C)[C@@H]2[CH+][C@@H]1C	34.36	16.889
CC(C)=CCC[C+](C)[C@H]1CC=C(C)CC1	C/C1=C\C[C@H]([C+](C)C)CC/C(C)=C/CC1	0.005	0.005
C[C+]1C[C@]23CC[C@H](C)[C@]2(CC[C@@H]3C)[C@@H]1C	C[C+]1[C@H](C)C[C@]23CC[C@H](C)[C@]12CC[C@@H]3C	8.078	-3.008
CC1=C[CH+][C@H]([C@]2(C)CC[C@H](C)[C@H]2C)CC1	CC1=C[C@@H]([C@H](C)[C+]2CC[C@H](C)[C@H]2C)CC1	30.505	2.891
C[C+]1CC[C@@H](C)[C@]2(C)C[C@@H]2[C@@]2(C)CC[C@H]12	C[C+]1CC[C@H](C)[C@H]2CC[C@]2(C)[C@H]2C[C@@]12C	8.176	-1.684
C[C+]1C[C@@H]([C@]2(C)CCC(C)(C)C2)[C@H]2C[C@@H]12	CC1=CC[CH+][C@H]([C@]2(C)CCC(C)(C)C2)C1	22.42	15.826
C[C+](C)[C@H]1[C@@H]2C[C@@H](C)[C@@H]3CC[C@@]1(C)[C@H]2C3	CC(C)=C[C@@H]1C[C@@H](C)[C@@H]2CC[C+](C)[C@H]1C2	11.157	1.323
C[C@@H]1CC[C@@]23CC[C@@](C)(CC[C+]12)C3(C)C	C[C+]1CC[C@@]23CC[C@@](C)(CC[C@H]12)C3(C)C	12.218	6.343
C[C+]1CCC2=C(C(C)C)CC[C@]2(C)CC1	CC(C)[C+]1CC[C@]2(C)CC[C@@]3(C)CC[C@]132	2.702	-17.329
C[C@H]1C[CH+][C@H]2[C@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	C[C@H]1C[C@H]2[CH+]C(C)(C)C[C@@H]2[C@@]2(C)CC[C@@H]12	0.016	-11.992
CC(C)=CCC[C+]1C[C@]2(C)CC[C@H]1[C@H]2C	C[C+](C)[C@H]1CC[C@@]12C[C@]1(C)CC[C@H]2[C@H]1C	3.686	-6.989
C[C@H]1CC(C)(C)[C@H]2CC[C@]3(C)CC[C@H]2[C+]13	C[C@H]1CC(C)(C)[C@H]2CC[C@]3(C)CC[CH+][C@]123	7.869	2.915
C=C(C)CCC[C@H](C)[C@@]12CC[C+](C)[C@@H]1C2	C=C(C)CCC[C@H](C)[C+]1CC[C@]2(C)C[C@H]12	4.041	-2.881
CC(C)=CCC[C@@H](C)[C@@]12CC[C+](C)[C@@H]1C2	CC1=CC[C@]2(CC1)[C@H](C)CC[C@@H]2[C+](C)C	27.41	22.596
CC1(C)C[C@@H]2C[C@H]3CC[C+]([C@@H]2C1)C3(C)C	C[C+](C)[C@@]12CC[C@@H]1C[C@H]1CC(C)(C)C[C@H]12	3.387	1.825
CC(C)=CCC[C+](C)[C@H]1C=C(C)CCC1	C[C+](C)[C@@H]1CC[C@]2(C)[C@@H]3CCC[C@@]1(C)[C@@H]32	11.509	-22.459
CC(C)=C[C@@H]1C[C@H](C)[C@@H]2CC[C+](C)[C@H]1C2	C[C+](C)[C@H]1[C@@H]2C[C@H](C)[C@@H]3CC[C@@]1(C)[C@H]2C3	2.199	-16.686
C=C[C@]1(C)CC[C@@H]1[C+](C)CCC=C(C)C	CC(C)=CC/C=C(/C)[C@H]1CC[C+](C)[C@H]1C	49.947	-1.854
CC1(C)CCC[C+]2[C@H](C[C@@H]3CC[C@]23C)C1	CC1(C)CCC[C@H]2[C+](C[C@@H]3CC[C@@]32C)C1	10.028	2.26
CC1=CC[C@@]2(C(C)C)CC[C+](C)[C@@H]2CC1	CC1=C2CC[C@H](C)[CH+]C[C@@]2(C(C)C)CC1	1.384	-21.796
CC1=CC[C@]2(CCCC2(C)C)[C+](C)CC1	CC1=CC[C@@](C)([C+]2CCCC2(C)C)CC1	6.618	-2.533
CC1=C([C@H]2C[C@@H](C)[C@H](C)CC[C+]2C)CC1	CC1=C([CH+][C@@]2(C)CC[C@@H](C)[C@H](C)C2)CC1	2.852	-7.408
C[C+](C)[C@]1(C)CCC2=C(CC1)[C@@H](C)CC2	C[C@H]1CCC2=C1CC[C+](C(C)(C)C)CC2	2.776	-3.925
C[C+]1[C@H](CCC(C)C)[C@H]2C[C@]3(C)CC[C@]123	CC(C)CC[C@@H]1[C@H]2C[C@]3(C)CC[C+]3[C@@]12C	12.364	-7.562
CC1=CC[C@@]2(CC1)[C+](C)[C@H]2CCC(C)C	CC1=CC/C(=C(\C)[CH+]CCC(C)C)CC1	0	-19.259
C[C@H]1CC[C+]2[C@@H]1C[C@H]1CC[C@]2(C)C1(C)C	C[C@H]1CC[C@@]12[CH+]C[C@H]1CC[C@]2(C)C1(C)C	26.666	25.476
CC(C)=CCC[C+](C)[C@@H]1CC=C(C)CC1	C=C[C+](C)CC/C=C(/C)CCC=C(C)C	31.139	27.443
CC(C)=CCC[C@H](C)[C@@]12CC[C+](C)[C@@H]1C2	CC(C)=CCC[C@H](C)[C@]12C[CH+][C@@]1(C)CC2	143.437	143.437
C[C+](C)[C@@H]1[C@@H]2CC[C@H](C)[C@]23CC[C@@]1(C)C3	C[C@H]1CC[C+]2C(C)(C)C[C@@]3(C)CC[C@]21C3	22.738	-17.078
CC1=C2CC[C+](C)CC[C@@]2(C)[C@@H](C)CC1	C[C+]1CC[C@H](C)[C@]2(C)CC[C@@]3(C)CC[C@]132	8.593	-16.056
C=C[C@]1(C)CC[C@@H]1[C+](C)CCC=C(C)C	C=C[C+](C)CC/C=C(\C)CCC=C(C)C	36.942	31.127
C[C+]1[C@H]2CC[C@H](C)[C@@]23CC[C@H](C3)C1(C)C	C[C+]1[C@@H]2CC[C@]3(C2)[C@@H](C)CC[C@@H]3C1(C)C	12.045	4.83
C/C(=C\CCC(C)C)[C@@]12CC[C+](C)[C@@H]1C2	CC1=CC/C(=C(\C)[CH+]CCC(C)C)CC1	0.151	-0.818
CC(C)=C1CC[C+](C)[C@]12CC[C@H](C)CC2	C[C+](C)C1=C2CC[C@H](C)CC[C@]2(C)CC1	4.819	-15.196
C[C+]1CC[C@@H](C)[C@@H]2CC[C@@H]3CC(C)(C)[C@@]123	C[C@@H]1CC[C@@]2(C)[C+]3[C@H](CC[C@H]31)CC2(C)C	5.426	-23.046
C[C+]1CC[C@]2([C@@]3(C)[C@@H](C)CC[C@H]3C)C[C@H]12	C[C@H]1CC[C@@H](C)[C@@]1(C)[C+]1CC[C@@]2(C)C[C@@H]12	12.311	-1.88
CC1(C)C[C@]2(C)CC[C@@H]3[C+]1CC[C@]3(C)C2	C[C+](C)[C@@]12CC[C@]3(C)C[C@@](C)(CC[C@H]13)C2	0.084	-6.643
CC1(C)CCC[C+]1[C@@]1(C)CC[C@]2(C)C[C@@H]21	CC1(C)CCC[C@]1(C)[C+]1CC[C@]2(C)C[C@H]12	5.736	-13.307
C[C+]1CC[C@@H]2C[C@H]1C(C)(C)[C@H]1CC[C@@]21C	C[C+](C)[C@H]1CC[C@@H]([C@@]2(C)C=CC2)C[C@@H]1C	53.351	44.257
C[C+]1[C@@]23CCC[C@]2(C)CC[C@H](C)[C@]1(C)C3	C[C+]1C[C@]23CCC[C@]2(C)CC[C@H](C)[C@]13C	13.524	4.361
C[C@@H]1CC[C+]2C(C)(C)[C@]3(C)CC[C@@]21CC3	C[C@@H]1CC[C@@]23CC[C@@](C)(CC[C+]12)C3(C)C	2.598	0.626
CC(C)=CC[C@@H]1CC[C@@H](C)C2(CC2)[C+]1C	C[C+](C)[C@H]1C[C@@H]2CC[C@@H](C)C3(CC3)[C@@]21C	9.459	0.172
CC(C)=C1CC[C+](C)[C@@H]2CC[C@@]2(C)CC1	CC(C)=C1CC[C@H](C)[C+]2CC[C@@]2(C)CC1	6.967	5.531
C[C+]1CC[C@H](C)[C@H]2CC[C@@]2(C)[C@H]2C[C@]12C	C[C+]1C[C@H]2[C@]1(C)CC[C@H](C)[C@H]1CC[C@@]21C	0.026	-2.142
C[C+]1CC[C@]2(C)[C@@H](C)C[C@]23[C@H]1CC[C@H]3C	C[C@H]1CC[C@]2(C)[C@@H](C)C[C@]23[C+]1CC[C@H]3C	10.482	-1.382
C[C+]1[C@H](C)[C@@H]2CC[C@]13CC(C)(C)C[C@@H]3C2	C[C+]1[C@@H]2CC[C@]3(CC(C)(C)C[C@@H]3C2)[C@@H]1C	1.39	0.737
C[C@H]1CC[C@@H]1[C@@H]1C[C+]2C(C)(C)CC[C@@]21C	C[C+]1CCC(C)(C)[C@]12C[C@H]2[C@H]1CC[C@@H]1C	1.174	-12.105
C[C@H]1C[C+]2CC[C@H](C)[C@@]23CC[C@@H]1C3(C)C	C[C@H]1CC[C@@]23CC[C@@H]([C@@H](C)C2)C(C)(C)[C+]13	1.71	-0.805
C[C+]1[C@@H]2CC[C@H](C)[C@@]23CC[C@](C)(C3)[C@H]1C	CC[C@@]1(C)[C@@H]2CC[C@H](C)[C@]23C[C+](C)[C@H]1C3	16.225	9.264
C/C1=C/CC/C(C)=C/CC(C)(C)[CH+]CC1	C/C1=C\CC[C+](C)/C=C\C(C)(C)CCC1	8.079	-16.278
C[C@H]1CC[C@]23[C+](CC[C@H]2C)C[C@@H]1C3(C)C	C[C@H]1CC[C@]23CC[C@@H](C)[C+]2C(C)(C)[C@H]1C3	1.676	0.598
C=C(C)C[C@H]1C[C+](C)[C@@]2(CC[C@H](C)C2)C1	C=C(C)C[C@H]1C[C@@](C)([C+]2CC[C@H](C)C2)C1	14.356	12.714
C[C+]1CC[C@@H]2C[C@H]1[C@@]21CCCC(C)(C)C1	CC1(C)CCC[C@@]2(C)[C+](C1)[C@@H]1CC[C@H]2C1	4.742	-0.205
CC(C)=C1CC[C@@]2(C)CC[C+](C)CC[C@@H]12	CC(C)=C1C[C@H](C)[C+]2CC[C@H](C)CC[C@@H]12	20.613	1.93
CC1(C)[CH+][C@H]2C[C@@]2(C)[C@@H]2CC[C@]2(C)CC1	CC(C)=C[CH+]C[C@@]1(C)CC[C@@]2(C)CC[C@@H]12	20.314	-0.973
C/C1=C/C/C(C)=C(\C)CC[C+](C)CCC1	C/C1=C/CC[C+](C)CC/C(C)=C(\C)CC1	2.552	-2.79
C/C1=C/CC(C)(C)[C@H]2CC[C+](C)[C@H]2CC1	C/C1=C/CC(C)(C)[C@H]2CC[C@]2(C)[CH+]CC1	16.342	7.519
CC(C)=CCC[C@H]1CC[C@@]2(C)C[C@H]2[C+]1C	CC(C)=CCC[C+]1CC[C@@]2(C)C[C@H]2[C@H]1C	9.232	7.181
CC(C)=C(C)CCC1=C(C)CCC[C+]1C	C=C1CC[C@@]2([C+](C)CCC[C@@H]2C)C1(C)C	19.867	3.713
CC(C)[C+]1CCC[C@]2(C)[C@H]3CC[C@H](C)[C@]132	CC(C)[C+]1CCC[C@]2(C)[C@H]3CC[C@H](C)[C@]132	10.734	6.846
C[C+]1[C@H]2CC[C@](C)(CC2)[C@@]12CCC2(C)C	CC1=C(CC[C+](C)C)[C@]2(C)CC[C@H]1CC2	18.075	4.043
CC1(C)CC[C@@H]2[C@@H](CC2(C)C)[C+]1C1CC1	C[C+](C)[C@]1(C2CC2)CC[C@@H]2[C@H]1CC2(C)C	14.868	4.188
CC1=CC[C+]([C@]2(C)CC[C@H]2C(C)C)CC1	CC1=CC[C@@]2(CC1)CC[C@@H](C(C)C)[C+]2C	11.223	-16.945
CC(C)=C1[CH+]C[C@@H](C)[C@@H]2CC[C@]2(C)CC1	CC(C)=C1CC[C@@H](C)[C+]2CC[C@]2(C)CC1	3.723	-0.302
C=C[C@@]1(C)CC[C@]12[C@H](C)CC[C@@H]2[C+](C)C	C=C[C@@]1(C)CC[C+]1[C@H](C)CCC=C(C)C	43.366	29.858
C[C@@H]1CC[C+]1[C@@H]1CC[C@@H]2C(C)(C)C[C@]12C	C[C@H]1CC[C@@H]1[C+]1CC[C@@H]2C(C)(C)C[C@]12C	3.349	-6.676
C/C=C1\CC[C@@H]2[C+](C)CC[C@H]2C(C)(C)C1	C[CH+][C@@H]1CCC2=C(C)CC[C@H]2C(C)(C)C1	15.025	15.025
C[C+](C)[C@@H]1CC[C@@]2(C)CC[C@]1(C)[C@@H]1C[C@@H]12	CC(C)=CCC[C@@]1(C)CC[C+](C)[C@@H]2C[C@@H]21	16.712	11.149
C[C@H]1CC[C+]2CC(C)(C)[C@@H]2[C@]2(C)CC[C@H]12	C[C@H]1CC[C@@]2([CH+]C(C)(C)C2)[C@]2(C)CC[C@H]12	21.194	16.474
C[C@@H]1CC[C@]23[C@H]1CC[C@@]2(C)[CH+]CC3(C)C	C[C+]1[C@H]2CC[C@H]3[C@H](C)CC[C@@]13C(C)(C)C2	0.311	-17.372
C[C+]1CC[C@@H](C)[C@@]2(C)C[C@@H]2[C@]2(C)CC[C@H]12	C/C1=C\CC[C+](C)[C@H]2C[C@]2(C)[C@H](C)CC1	15.746	-2.609
CC1=CC[C@@]2(C)[C+](C(C)C)CC[C@H]2CC1	C/C1=C\C[C+]2CC[C@@H](CC1)[C@@]2(C)C(C)C	4.284	3.856
C[C+](C)[C@H]1[C@@H]2C[C@@]3(C)CCC[C@](C)(C3)[C@@H]21	CC(C)=C[C@@H]1[CH+]C[C@@]2(C)CCC[C@]1(C)C2	25.632	25.296
C[C+]1C[C@@H]2CC[C@H](C)[C@]3(C)CC[C@]23[C@H]1C	C[C@H]1CC[C+]2C[C@@H](C)[C@H](C)[C@@]23CC[C@@]13C	4.656	-8.902
CC1=CC[C@]2(CC1)[C@@H](C)CC[C@H]2[C+](C)C	CC(C)=CCC[C@H](C)[C+]1CC=C(C)CC1	7.633	5.764
C[CH+][C@]12[C@H]3CC[C@H](C3)[C@@]1(C)CCC2(C)C	C[C@@H]1[C+]2[C@H]3CC[C@H](C3)[C@@]1(C)CCC2(C)C	5.844	1.594
C[C+](C)/C=C1/CC[C@H](C)[C@H]2CC[C@@]2(C)C1	C[C+](C)/C=C1/CC[C@H](C)[C@H]2CC[C@@]2(C)C1	18.772	-2.095
C[C+]1C(C)(C)[C@@H]2CC[C@]13[C@@H](C)CC[C@@H]3C2	C[C@H]1CC[C@@H]2C[C@H]3CC[C@@](C)([C+]12)C3(C)C	1.757	1.004
C=C[C@@]1(C)CC[C@H]1[C+](C)CCC=C(C)C	C=C[C+](C)CC/C=C(/C)CCC=C(C)C	16.355	8.706
CC1=CC[C+](CCCC(C)=C(C)C)CC1	CC(C)=C(C)CCC[C@@]12CC[C+](C)[C@@H]1C2	1.11	-7.387
C[C@@H]1CC[C+]2[C@]3(C)C[C@@H]3[C@@H](C)[C@]2(C)CC1	C[C+]1[C@H]2C[C@@]2(C)[C@@H]2CC[C@@H](C)CC[C@@]12C	8.854	8.854
