substrate	product	barrier	heat
C[C+]1CC[C@H]2CC[C@H]3[C@H](CC3(C)C)[C@@]12C	CC1(C)CC[C@H]2CC[C@H]3[C@H](CC3(C)C)[C+]21	7.305	-6.355
C[C@H]1CC[C+]2[C@H]1CC(C)(C)[C@H]1CC[C@@]21C	C[C+]1[C@@H]2CC[C@]13CC[C@H](C)[C@@H]3CC2(C)C	1.198	-7.258
CC1=CC[C@]2(CCC[C@]2(C)[C+](C)C)CC1	CC1(C)[C@@]2(C)[CH+]C[C@]3(CCC[C@]13C)CC2	0.015	-13.51
C[C@H]1CC[C@@H]2[C@@H](C(C)(C)C)[C@@H]3[CH+]C[C@]12C3	C[C@H]1CC[C@@H]2[C+](C(C)(C)C)[C@@H]3CC[C@]12C3	0.224	-8.986
C[C+](C)[C@H]1CC[C@@H](C)[C@]12CC[C@@]1(C)C[C@H]12	CC(C)=CCC[C@@H](C)C1=CC[C+](C)CC1	29.306	26.565
C/C1=C/CC(C)(C)[C@@H]2CC[C+](C)[C@H]2CC1	C[C@@H]1CC[C+]2[C@@H]1CC(C)(C)[C@@H]1CC[C@]21C	22.274	12.054
C[C+]1[C@@H]2CC[C@H](C)[C@]23CC[C@@H](C3)C1(C)C	C[C+]1[C@H]2CC[C@@]3(C2)[C@@H](C)CC[C@H]3C1(C)C	11.733	4.319
CC1=C2[C+](C)[C@H](C)CCC[C@]2(C)CCC1	CC1=C2[C+](C)[C@H](C)CCC[C@]2(C)CCC1	1.536	-6.534
C[C+]1CC[C@H]2[C@H](C)CC[C@H]3C(C)(C)C[C@@]123	C[C@@H]1CC[C@@H]2[C+](CC2(C)C)[C@]2(C)CC[C@@H]12	46.013	22.541
C[C@@H]1CC[C@H]2[C+](CC2(C)C)[C@]2(C)CC[C@H]12	C[C@@H]1CC[C@@H]2C(C)(C)C[C+]3CC[C@H]1[C@@]32C	12.966	3.124
CC1=CC[C@]2(CC1)[C@@H](C)CC[C@@H]2[C+](C)C	CC1=CC[C@]2(CC1)[C+](C)CC[C@@H]2C(C)C	13.468	9.696
CC(C)=C1CC[C@]1(C)[C+]1CCC(C)CC1	C[C+]1[C@]2(CC[C@H](C)CC2)C(C)(C)[C@@]12CC2	24.257	-1.497
C=C1[CH+]CCC(C)(C)C[C@@H]2[C@@H]1CC[C@H]2C	C=C1CC[CH+]C(C)(C)C[C@@H]2[C@@H]1CC[C@H]2C	5.179	-2.812
C[C+](C)[C@@H]1CC[C@H](C)[C@@]12CC[C@]1(C)C[C@H]21	CC(C)[C+]1CC[C@H](C)[C@@]12CC[C@]1(C)C[C@@H]12	10.777	1.128
CC(C)=CC[C@H]1CCC[C+](C)[C@H]2C[C@@]12C	CC(C)=CC[C@H]1CCC/C(C)=C\C[C+]1C	9.867	-7.775
CC1=CC[C@]2(CC1)[C+](C(C)C)CC[C@@H]2C	CC1=CC[C@@]2([CH+]C1)[C@@H](C)CC[C@H]2C(C)C	11.303	11.303
C[C@H]1CC[C@H]2C[C@@]12[C+]1CCCC(C)(C)C1	C[C@H]1CC[CH+]C[C@H]2[C@H]3CC[C@@]12CC3(C)C	33.649	9.041
C/C1=C/CC/C(C)=C/C[C@H]([C+](C)C)CC1	CC1=C2C[C@H](C(C)C)CC[C+](C)[C@@H]2CC1	17.899	-37.826
CC(C)=CCC[C@H](C)[C+]1CC=C(C)CC1	CC1=CC/C(=C(\C)CCC[C+](C)C)CC1	3.44	1.109
CC(C)=CC[C@H](C)[C@@]12CC[C@@H]1CC[C+]2C	CC(C)=CC[C@H](C)[C+]1CC[C@@H]2CC[C@]12C	19.889	-4.24
C[C+]1CC[C@@H]2[C@@H](C(C)C)CC[C@@H]3[C@H]1[C@@]32C	CC(C)[C@H]1CC[C@@H](C)C2=C1CC[C@@H](C)[CH+]2	38.886	2.051
CC(C)[C+]1CC[C@@]2(C)[C@H]3CC[C@H](C3)[C@@]12C	C[C+]1[C@H]2CC[C@H](C2)[C@@]1(C)C1(C(C)C)CC1	45.228	38.572
CC(C)=CC[CH+][C@]1(C)[C@H]2CC[C@H](C2)[C@H]1C	C[C+](C)[C@H]1C[C@H]1[C@]1(C)[C@H]2CC[C@H](C2)[C@H]1C	4.739	-9.844
C[C+]1CC[C@@H](C)[C@@]2(C)C[C@H]2[C@]2(C)CC[C@@H]12	C/C1=C\C[C+](C)[C@H](C)CC/C(C)=C/CC1	41.167	25.621
C=C=C(C)CCC[C@@H](C)C[CH+]C=C(C)C	CC(C)=C[C@@H]1C[C@@H]2[C@@H](C)CC[C+](C)[C@]12C	5.624	-4.511
C[C+]1CC[C@H]2[C@@H](CC2(C)C)[C@]2(C)CC[C@@H]12	C[C@@H]1CC[C+]2[C@@H](CC2(C)C)[C@]2(C)CC[C@@H]12	13.161	7.541
CC1=C2CC(C)(C)CCC[C@H](CC1)[C+]2C	CC1=C2CC(C)(C)CC[CH+][C@]2(C)CCC1	25.724	16.193
C/C1=C/CC/C(C)=C/C[C@H]([C+](C)C)CC1	C[C+]1CC[C@@H]2[C@@H]1C[C@H]1CC[C@]2(C)C1(C)C	6.583	-50.69
C[C+]1CC[C@@]12[C@H]1CC[C@]1(C)CCC2(C)C	CC1(C)CC[C@@]2(C)CC[C+]3[C@@H]1CC[C@]32C	6.447	3.463
C[C+]1CCC[C@]2(C)CC=CC(C)(C)[C@H]1C2	C[C@@H]1CCC[C@]2(C)CC=CC(C)(C)[C+]1C2	2.577	-4.173
CC(C)[C@@H]1[C@H]2C[C@H]3[C+](CC[C@@H]3C)[C@]1(C)C2	C[C+]1[C@H](C(C)C)[C@H]2C[C@@H]3[C@@H](C)CC[C@@]13C2	0.803	-12.061
C[C+]1CC[C@H](C)[C@]2(C)[C@H]3C[C@@H](C[C@H]12)[C@@H]3C	C/C1=C/C[C@@H]2C[C@H]([C+](C)[C@@H](C)CC1)[C@H]2C	44.121	19.48
CC1=C[C@@H]([C@H]2CC[C+](C)[C@@H]2C(C)C)CC1	CC1=C(C(C)C)[C@@H]([C@H]2CC[C+](C)C2)CC1	0.541	-4.111
CC1=CC[C+](C(C)C)C[C@@H]2[C@@H](C)CC[C@@H]12	CC1=C2CC[C@H](C)[C@H]2C[C@H](C(C)C)C[CH+]1	10.914	-12.365
C[C+](C)[C@@H]1CC[C@]12[C@H]1CC[C@H](C1)C2(C)C	CC(C)=CCC[C+]1[C@H]2CC[C@H](C2)C1(C)C	11.564	6.775
C[C+]1CC[C@H]2[C@@H]3[C@H](C(C)C)CC[C@@]2(C)[C@H]13	CC1=C[C@H]2[C@H](C(C)C)CC[C+](C)[C@H]2CC1	16.952	12.495
C[C+]1CC[C@@H]2C[C@H]1[C@]1(C)CCC(C)(C)[C@H]21	C[C@H]1[C@@H]2C[C+]([C@@H]3[C@@H](C)CCC3(C)C)C[C@H]12	109.648	16.79
C/C=C(/C)C1([C@H](C)C[CH+]C=C(C)C)CC1	C=C[C+](C)C1([C@H](C)CCC=C(C)C)CC1	14.696	14.672
CC1=C[CH+][C@H]([C@@H]2CC[C@]2(C)C(C)C)CC1	CC1=CC[C@H]([C+]2CC[C@]2(C)C(C)C)CC1	12.671	4.124
C[C+]1C[C@]23CC[C@@H](C)[C@@H]2C[C@H]1CC[C@H]3C	C=C(C)[C@@H]1CC[C+](C)[C@H]2CC[C@@H](C)[C@@H]2C1	32.198	27.223
C[C@H]1CC[C@@H]2[C+]1[C@@H](C1(C)CC1)CC2(C)C	C[C@H]1CC[C@@H]2[C@@H]1[C+](C1(C)CC1)CC2(C)C	4.764	-2.443
CC1(C)CCC[C@]2(C)[C@]3(C)CC[CH+][C@@]32C1	CC1(C)CCCC(C)(C)C2=C([CH+]CC2)C1	1.359	-21.718
C[C+]1CC[C@H]2[C@@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	C[C@@H]1CC[C+]2[C@@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	10.137	6.785
C=C(C)[C@@H]1CC[C+]([C@@]2(CC)CC[C@@H]2C)C1	C=C(C)[C@@H]1CC[C@]2(CC[C@H](C)[C+]2CC)C1	9.319	-11.459
C[C@@H]1CC[C@]2([CH+][C@@]3(C)CC[C@@H]13)CC2(C)C	C[C@@H]1CC[C+]2CC(C)(C)[C@@H]2[C@@]2(C)CC[C@@H]12	9.773	0.44
CC1=CC[C+]([C@H]2[C@H](C)CCC2(C)C)CC1	C[C+]1CC[C@@]2([C@H]3[C@H](C)CCC3(C)C)C[C@@H]12	2.343	-6.61
C[CH+][C@@]12CC[C@H]3C[C@@H](C1)[C@@]3(C)[C@@H]2C(C)C	CC(C)[C@@H]1[C@H](C)[C+]2CC[C@H]3C[C@@H](C2)[C@]31C	3.261	-4.977
C[C+]1[C@@H]2C[C@@H](C(C)C)[C@@H]3C[C@H]1CC[C@]23C	CC(C)[C+]1C[C@H]2[C@@H]3CC[C@@]2(C)[C@H]1C[C@H]3C	10.001	-4.078
CC(C)[C@@]12CC[C@@](C)(C1)[C@@H]1[C+]2CC[C@@H]1C	CC(C)[C+]1C[C@]2(C)CC[C@]13CC[C@H](C)[C@H]23	2.174	-1.756
